Name,Address,Pincode,Type,City,State
University of Madras,Chepauk Triplicane,600005,Public University,Chennai,Tamil Nadu
Anna University,Sardar Patel Road Guindy,600025,Public University,Chennai,Tamil Nadu
College of Engineering (CEG) ,Sardar Patel Road Guindy,600025,Public (Constituent College),Chennai,Tamil Nadu
Madras Christian College (MCC),East Tambaram,600059,Autonomous (Private Aided),Chennai,Tamil Nadu
Loyola College (Autonomous),Nungambakkam,600034,Autonomous (Private Aided),Chennai,Tamil Nadu
Presidency College (Autonomous),Kamaraj Salai Chepauk,600005,Government,Chennai,Tamil Nadu
St. Joseph's College (Autonomous),Cuddalore Road Near Central Station,600001,Autonomous (Private Aided),Chennai,Tamil Nadu
Women's Christian College (Autonomous),College Road Nungambakkam,600006,Autonomous (Private Aided),Chennai,Tamil Nadu
SSN College of Engineering,Old Mahabalipuram Road (OMR) Kalavakkam,603110,Private (Unaided),Chennai,Tamil Nadu
Sri Venkateswara College of Engineering (SVCE),Bangalore-Tirupathi Highway Pennalur Sriperumbudur,602117,Private (Unaided),Chennai,Tamil Nadu
SRM Institute of Science and Technology (Main Campus),SRM Nagar Kattankulathur,603203,Deemed University,Chengalpattu,Tamil Nadu
Vellore Institute of Technology (VIT Chennai),Vandalur - Kelambakkam Road,600127,Deemed University,Chennai,Tamil Nadu
Saveetha Engineering College (Saveetha University),Saveetha Nagar Thandalam Chennai - Kanchipuram Highway,602105,Private (Deemed University),Chennai,Tamil Nadu
Rajalakshmi Engineering College (REC),Rajalakshmi Nagar Thandalam Chennai - Bangalore Highway,602105,Private (Unaided),Chennai,Tamil Nadu
Jeppiaar Engineering College (JEC),Jeppiaar Nagar Rajiv Gandhi Salai (OMR),600119,Private (Unaided),Chennai,Tamil Nadu
Chennai Institute of Technology (CIT),Kundrathur,600069,Private (Unaided),Chennai,Tamil Nadu
Hindustan Institute of Technology and Science (HITS),Rajiv Gandhi Salai (OMR) Padur,603103,Deemed University,Chennai,Tamil Nadu
Academy of Maritime Education and Training (AMET University),135 East Coast Road Kanathur,603112,Deemed University,Chennai,Tamil Nadu
Dr. MGR Educational and Research Institute (Deemed University),Periyar E.V.R. High Road Maduravoyal,600095,Deemed University,Chennai,Tamil Nadu
B. S. Abdur Rahman Crescent Institute of Science and Technology,G.S.T. Road Vandalur,600048,Deemed University,Chennai,Tamil Nadu
Stanley Medical College,Old Jail Road Broadway,600001,Government Medical College,Chennai,Tamil Nadu
Madras Medical College,EVK Sampath Road Park Town,600003,Government Medical College,Chennai,Tamil Nadu
Ethiraj College for Women,70 Ethiraj Salai Egmore,600008,Autonomous (Private Aided),Chennai,Tamil Nadu
DG Vaishnav College,Arignar Anna Salai Saidapet,600015,Autonomous (Private Aided),Chennai,Tamil Nadu
MOP Vaishnav College for Women,No. 20 IV Lane Nungambakkam High Road Nungambakkam,600034,Autonomous (Private Aided),Chennai,Tamil Nadu
The New College (Autonomous),New College Campus 87 Peters Road Royapettah,600014,Autonomous (Private Aided),Chennai,Tamil Nadu
Vels Institute of Science, Technology & Advanced Studies (VISTAS) Velan Nagar P.V. Vaithiyalingam Road Pallavaram,600117,Deemed University,Chennai,Tamil Nadu
Sathyabama Institute of Science and Technology,Jeppiaar Nagar Rajiv Gandhi Salai (OMR),600119,Deemed University,Chennai,Tamil Nadu
Indian Institute of Technology Madras (IITM),IIT Campus Sardar Patel Road Adyar,600036,Institute of National Importance,Chennai,Tamil Nadu
National Institute of Fashion Technology (NIFT Chennai),Rajiv Gandhi Salai Taramani,600113,Autonomous Institute,Chennai,Tamil Nadu
SRM Institute of Science and Technology ,bharathi salai Ramapuram,600089,Deemed unvierstiy,Chennai,Tamil Nadu
A M Jain college,Railway station rd BV nagar Meenambakkam, 600061,Autonomous(govt. Aided), Chennai, Tamil Nadu
Bharath institute of Higher education and research, Agaram Main Rd Selaiyur Tambaram,600073,Private University, Chennai, Tamil Nadu
SRM Institute of Science and Technology ,Jawaharlal Nehru Salai Vadapalani,600026,Deemed University, chennai,Tamil Nadu
Madras Institue of technology(MIT),MIT Rd Radha Nagar Chromepet,600044,Autonomous,Chennai,Tamil Nadu   
