"name,address,city,state,pincode,type"
"Anna University,Sardar Patel Rd,Guindy,Chennai,Tamil Nadu,600025,Public"
"Loyola College,Sterling Rd,Nungambakkam,Chennai,Tamil Nadu,600034,Private"
"Madras Christian College,East Tambaram,Selaiyur,Chennai,Tamil Nadu,600059,Private"
"Presidency College,Kamarajar Salai,Triplicane,Chennai,Tamil Nadu,600005,Public"
"Stella Maris College,17 Cathedral Rd,Alwarpet,Chennai,Tamil Nadu,600086,Private"
"Women's Christian College,College Rd,Nungambakkam,Chennai,Tamil Nadu,600006,Private"
"College of Engineering Guindy,Anna University Campus,Guindy,Chennai,Tamil Nadu,600025,Public"
"SRM Institute,Potheri,Kattankulathur,Chennai,Tamil Nadu,603203,Private"
"IIT Madras,IIT Campus,Adyar,Chennai,Tamil Nadu,600036,Public"
"Velammal Engineering College,Ambattur Redhills Rd,Ambattur,Chennai,Tamil Nadu,600066,Private"
"Christ University,Hosur Rd,Dharmaram College,Bangalore,Karnataka,560029,Private"
"St Xavier's College,Mahatma Gandhi Rd,Fort,Mumbai,Maharashtra,400001,Private"
"SRM Institute,Potheri,Kattankulathur,Chennai,Tamil Nadu,603203,Private"
"Presidency College,Kamarajar Salai,Triplicane,Chennai,Tamil Nadu,600005,Public"
